,nombre_de_features,accuracy,precision,recall,f1_score
0,1,0.8743889479277365,0.5567567567567567,0.16830065359477125,0.2584692597239649
1,2,0.8629117959617428,0.8108108108108109,0.04491017964071856,0.08510638297872342
2,3,0.8756641870350691,0.85,0.15246636771300448,0.2585551330798479
3,4,0.8720510095642933,0.7428571428571429,0.18922852983988356,0.3016241299303944
4,5,0.873538788522848,0.7377049180327869,0.19794721407624633,0.31213872832369943
5,6,0.8831030818278427,0.7215686274509804,0.277526395173454,0.4008714596949891
6,7,0.879489904357067,0.6390728476821192,0.2964669738863287,0.4050367261280168
7,8,0.8792773645058448,0.7407407407407407,0.28653295128939826,0.4132231404958677
8,9,0.8805526036131774,0.7131474103585658,0.26756352765321373,0.38913043478260867
9,10,0.8807651434643996,0.7869565217391304,0.2611832611832612,0.3921993499458288
10,11,0.8835281615302869,0.698744769874477,0.25972006220839816,0.3786848072562358
11,12,0.8820403825717322,0.6761565836298933,0.290519877675841,0.40641711229946526
12,13,0.8777895855472901,0.6818181818181818,0.3056768558951965,0.42211055276381915
13,14,0.8828905419766206,0.6962025316455697,0.32592592592592595,0.4439959636730575
14,15,0.8907545164718385,0.7072463768115942,0.3713850837138508,0.4870259481037924
15,16,0.8852284803400637,0.7109634551495017,0.32083958020989506,0.4421487603305785
16,17,0.8831030818278427,0.6788321167883211,0.28703703703703703,0.40347071583514105
17,18,0.8784272051009564,0.6445783132530121,0.3203592814371258,0.42800000000000005
18,19,0.879489904357067,0.6845425867507886,0.3172514619883041,0.4335664335664336
19,20,0.8801275239107332,0.6870967741935484,0.31323529411764706,0.4303030303030303
20,21,0.877577045696068,0.6607142857142857,0.32456140350877194,0.43529411764705883
21,22,0.8558979808714134,0.4921259842519685,0.373134328358209,0.42444821731748733
22,23,0.8558979808714134,0.46008403361344535,0.3421875,0.3924731182795699
23,24,0.8580233793836344,0.5193482688391039,0.37117903930131,0.432937181663837
24,25,0.8605738575982996,0.4930139720558882,0.38058551617873654,0.4295652173913044
25,26,0.8471838469713071,0.4407766990291262,0.34498480243161095,0.38704177323103156
26,27,0.8497343251859724,0.5047438330170778,0.37359550561797755,0.42937853107344637
27,28,0.8586609989373007,0.481335952848723,0.37925696594427244,0.4242424242424242
28,29,0.8382571732199787,0.43929712460063897,0.40145985401459855,0.41952707856598015
29,30,0.8284803400637619,0.3929712460063898,0.3655274888558692,0.37875288683602776
30,31,0.8439957492029756,0.4065180102915952,0.3792,0.3923841059602649
31,32,0.834643995749203,0.3993610223642173,0.3834355828220859,0.39123630672926446
32,33,0.8354941551540914,0.4094488188976378,0.3945371775417299,0.401854714064915
33,34,0.834856535600425,0.4204724409448819,0.39497041420118345,0.40732265446224264
34,35,0.8410201912858661,0.4119601328903654,0.3862928348909657,0.3987138263665595
35,36,0.8354941551540914,0.4,0.3888888888888889,0.39436619718309857
36,37,0.836769394261424,0.4405705229793978,0.40115440115440115,0.4199395770392749
37,38,0.834643995749203,0.3937908496732026,0.37191358024691357,0.38253968253968257
38,39,0.8380446333687567,0.42320261437908496,0.38772455089820357,0.4046875
