,nombre_de_features,accuracy,precision,recall,f1_score
0,1,0.8663124335812965,0.5321100917431193,0.18040435458786935,0.26945412311265965
1,2,0.8699256110520722,0.5841584158415841,0.2669683257918552,0.3664596273291925
2,3,0.8671625929861849,0.75,0.11929307805596466,0.20584498094027953
3,4,0.8835281615302869,0.8066298342541437,0.22154779969650987,0.3476190476190476
4,5,0.8850159404888417,0.8214285714285714,0.21263482280431434,0.33782129742962064
5,6,0.8873538788522848,0.8225806451612904,0.2353846153846154,0.3660287081339713
6,7,0.8763018065887354,0.7426900584795322,0.19097744360902255,0.3038277511961723
7,8,0.8780021253985122,0.7655502392344498,0.23357664233576642,0.3579418344519016
8,9,0.8801275239107332,0.6554307116104869,0.2704791344667697,0.3829321663019694
9,10,0.8809776833156217,0.7180451127819549,0.28254437869822485,0.40552016985138
10,11,0.8809776833156217,0.7782805429864253,0.2518301610541728,0.38053097345132747
11,12,0.8875664187035069,0.7148760330578512,0.27330173775671407,0.3954285714285714
12,13,0.8841657810839533,0.6542372881355932,0.30345911949685533,0.4146079484425349
13,14,0.8831030818278427,0.6970684039087948,0.31892697466467956,0.4376278118609407
14,15,0.8858660998937301,0.6944444444444444,0.3393665158371041,0.4559270516717326
15,16,0.8871413390010627,0.6996699669966997,0.32515337423312884,0.4439790575916231
16,17,0.8801275239107332,0.6765676567656765,0.3055141579731744,0.4209445585215606
17,18,0.8578108395324123,0.4416475972540046,0.3122977346278317,0.36587677725118484
18,19,0.8809776833156217,0.6643598615916955,0.2931297709923664,0.4067796610169492
19,20,0.8824654622741764,0.6666666666666666,0.35171385991058124,0.4604878048780488
20,21,0.8495217853347503,0.45751633986928103,0.31390134529147984,0.37234042553191493
21,22,0.8533475026567482,0.46458333333333335,0.3399390243902439,0.39260563380281693
22,23,0.855047821466525,0.469601677148847,0.3430321592649311,0.3964601769911505
23,24,0.8484590860786397,0.48785425101214575,0.3437945791726106,0.40334728033472805
24,25,0.8465462274176409,0.4624277456647399,0.3513909224011713,0.39933444259567386
25,26,0.8473963868225293,0.462890625,0.34852941176470587,0.39765100671140935
26,27,0.8463336875664187,0.4669187145557656,0.35901162790697677,0.4059161873459326
27,28,0.8499468650371945,0.44669117647058826,0.375,0.40771812080536907
28,29,0.8467587672688629,0.43427620632279534,0.40654205607476634,0.4199517296862429
29,30,0.842720510095643,0.43295638126009695,0.4079147640791476,0.4200626959247649
30,31,0.8363443145589798,0.41798107255520506,0.3978978978978979,0.4076923076923077
31,32,0.8422954303931988,0.39279869067103107,0.39279869067103107,0.39279869067103107
32,33,0.8342189160467588,0.43037974683544306,0.3930635838150289,0.4108761329305136
33,34,0.8378320935175345,0.42496050552922593,0.4026946107784431,0.41352805534204456
34,35,0.8439957492029756,0.40938511326860844,0.4067524115755627,0.4080645161290322
35,36,0.8289054197662061,0.413312693498452,0.3852813852813853,0.39880507841672885
36,37,0.8359192348565356,0.4247787610619469,0.4298507462686567,0.427299703264095
37,38,0.8344314558979808,0.40705128205128205,0.38310708898944196,0.39471639471639475
38,39,0.824654622741764,0.42485549132947975,0.4077669902912621,0.41613588110403393
